id,pertanyaan,jawaban,kategori,cleaning,case_folding,normalisasi,tokenisasi,stopword_removal
900,anak usia 3 tahun cocok aktivitas apa??,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
901,kelas bumi untuk usia brp dong,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi untuk usia brp dong,kelas bumi untuk usia brp dong,kelas bumi untuk usia berapa dong,"['kelas', 'bumi', 'untuk', 'usia', 'berapa', 'dong']","['kelas', 'bumi', 'usia']"
902,kelas awan utk usiaa brp??,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan utk usiaa brp,kelas awan utk usiaa brp,kelas awan untuk usiaa berapa,"['kelas', 'awan', 'untuk', 'usiaa', 'berapa']","['kelas', 'awan', 'usiaa']"
903,jdwl kegiatan kidsland kapan?,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jdwl kegiatan kidsland kapan,jdwl kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,"['jadwal', 'kegiatan', 'kidsland', 'kapan']","['jadwal', 'kegiatan', 'kidsland']"
904,jadwal kegiatan kidsland kapn dong,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapn dong,jadwal kegiatan kidsland kapn dong,jadwal kegiatan kidsland kapn dong,"['jadwal', 'kegiatan', 'kidsland', 'kapn', 'dong']","['jadwal', 'kegiatan', 'kidsland', 'kapn']"
905,lokasi kegiatan dimana??,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
906,lokasi kegiatan dimana...,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
907,anak usia 5 tahun cocok aktivitas apa ya,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usia tahun cocok aktivitas apa ya,anak usia tahun cocok aktivitas apa ya,anak usia tahun cocok aktivitas apa ya,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa', 'ya']","['anak', 'usia', 'cocok', 'aktivitas', 'ya']"
908,ank usiaa 3 tahun cocok aktivitas ap dong,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,ank usiaa tahun cocok aktivitas ap dong,ank usiaa tahun cocok aktivitas ap dong,anak usiaa tahun cocok aktivitas ap dong,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'ap', 'dong']","['anak', 'usiaa', 'cocok', 'aktivitas', 'ap']"
909,anak suka menggambar ya,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar ya,anak suka menggambar ya,anak suka menggambar ya,"['anak', 'suka', 'menggambar', 'ya']","['anak', 'suka', 'menggambar', 'ya']"
910,kelas awan untuk usia berap ya,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan untuk usia berap ya,kelas awan untuk usia berap ya,kelas awan untuk usia berap ya,"['kelas', 'awan', 'untuk', 'usia', 'berap', 'ya']","['kelas', 'awan', 'usia', 'berap', 'ya']"
911,anak suka menggambar?,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
912,cara daftar kidsland ya,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland ya,cara daftar kidsland ya,cara daftar kidsland ya,"['cara', 'daftar', 'kidsland', 'ya']","['daftar', 'kidsland', 'ya']"
913,anak suka menggambar dong,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar dong,anak suka menggambar dong,anak suka menggambar dong,"['anak', 'suka', 'menggambar', 'dong']","['anak', 'suka', 'menggambar']"
914,lokasi kegiatan dimana,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
915,jadwal kegiatan kidsland kapan??,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,"['jadwal', 'kegiatan', 'kidsland', 'kapan']","['jadwal', 'kegiatan', 'kidsland']"
916,anak suka menggambar dong,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar dong,anak suka menggambar dong,anak suka menggambar dong,"['anak', 'suka', 'menggambar', 'dong']","['anak', 'suka', 'menggambar']"
917,kelas bumi untuk usia berapa...,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi untuk usia berapa,kelas bumi untuk usia berapa,kelas bumi untuk usia berapa,"['kelas', 'bumi', 'untuk', 'usia', 'berapa']","['kelas', 'bumi', 'usia']"
918,kelas awan untuk usia berapa,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan untuk usia berapa,kelas awan untuk usia berapa,kelas awan untuk usia berapa,"['kelas', 'awan', 'untuk', 'usia', 'berapa']","['kelas', 'awan', 'usia']"
919,cara daftar kidsland?,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
920,cara daftar kidsland ya,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland ya,cara daftar kidsland ya,cara daftar kidsland ya,"['cara', 'daftar', 'kidsland', 'ya']","['daftar', 'kidsland', 'ya']"
921,anak usia 3 tahun cocok aktivitas apa...,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
922,anak usia 3 tahun cocok aktivitas apa,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
923,jadwal kegiatan kidsland kapn...,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapn,jadwal kegiatan kidsland kapn,jadwal kegiatan kidsland kapn,"['jadwal', 'kegiatan', 'kidsland', 'kapn']","['jadwal', 'kegiatan', 'kidsland', 'kapn']"
924,cara daftar kidsland dong,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland dong,cara daftar kidsland dong,cara daftar kidsland dong,"['cara', 'daftar', 'kidsland', 'dong']","['daftar', 'kidsland']"
925,kls awan untuk usia berapa??,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kls awan untuk usia berapa,kls awan untuk usia berapa,kelas awan untuk usia berapa,"['kelas', 'awan', 'untuk', 'usia', 'berapa']","['kelas', 'awan', 'usia']"
926,anak suka menggambar,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
927,anak suka menggambar,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
928,anak suka menggambar dong,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar dong,anak suka menggambar dong,anak suka menggambar dong,"['anak', 'suka', 'menggambar', 'dong']","['anak', 'suka', 'menggambar']"
929,anak usiaa 5 tahun cocok aktivitas apa?,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usiaa tahun cocok aktivitas apa,anak usiaa tahun cocok aktivitas apa,anak usiaa tahun cocok aktivitas apa,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usiaa', 'cocok', 'aktivitas']"
930,ank suka menggambar?,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,ank suka menggambar,ank suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
931,anak suka menggambar dong,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar dong,anak suka menggambar dong,anak suka menggambar dong,"['anak', 'suka', 'menggambar', 'dong']","['anak', 'suka', 'menggambar']"
932,kls awan utk usia brp?,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kls awan utk usia brp,kls awan utk usia brp,kelas awan untuk usia berapa,"['kelas', 'awan', 'untuk', 'usia', 'berapa']","['kelas', 'awan', 'usia']"
933,anak usiaa 3 tahun cocok aktivitas apa ya,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usiaa tahun cocok aktivitas apa ya,anak usiaa tahun cocok aktivitas apa ya,anak usiaa tahun cocok aktivitas apa ya,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'apa', 'ya']","['anak', 'usiaa', 'cocok', 'aktivitas', 'ya']"
934,anak usia 3 tahun cocok aktivitas apa??,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
935,anak usia 5 tahun cocok aktivitas apa,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
936,cara daftar kidsland...,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
937,anak usiaa 3 tahun cocok aktivitas apa,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usiaa tahun cocok aktivitas apa,anak usiaa tahun cocok aktivitas apa,anak usiaa tahun cocok aktivitas apa,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usiaa', 'cocok', 'aktivitas']"
938,jdwl kegiatan kidsland kapan ya,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jdwl kegiatan kidsland kapan ya,jdwl kegiatan kidsland kapan ya,jadwal kegiatan kidsland kapan ya,"['jadwal', 'kegiatan', 'kidsland', 'kapan', 'ya']","['jadwal', 'kegiatan', 'kidsland', 'ya']"
939,anak usiaa 5 tahun cocok aktivitas apa?,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usiaa tahun cocok aktivitas apa,anak usiaa tahun cocok aktivitas apa,anak usiaa tahun cocok aktivitas apa,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usiaa', 'cocok', 'aktivitas']"
940,cara daftar kidsland?,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
941,anak suka menggambar,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
942,lokasi kegiatan dimana?,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
943,anak usia 3 tahun cocok aktivitas apa...,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
944,anak suka menggambar ya,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar ya,anak suka menggambar ya,anak suka menggambar ya,"['anak', 'suka', 'menggambar', 'ya']","['anak', 'suka', 'menggambar', 'ya']"
945,anak usiaa 5 tahun cocok aktivitas apa??,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usiaa tahun cocok aktivitas apa,anak usiaa tahun cocok aktivitas apa,anak usiaa tahun cocok aktivitas apa,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usiaa', 'cocok', 'aktivitas']"
946,cara daftar kidsland ya,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland ya,cara daftar kidsland ya,cara daftar kidsland ya,"['cara', 'daftar', 'kidsland', 'ya']","['daftar', 'kidsland', 'ya']"
947,cara daftar kidsland??,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
948,lokasi kegiatan dimana,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
949,kelas bumi untuk usia brp??,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi untuk usia brp,kelas bumi untuk usia brp,kelas bumi untuk usia berapa,"['kelas', 'bumi', 'untuk', 'usia', 'berapa']","['kelas', 'bumi', 'usia']"
950,kelas awan untuk usiaa berapa??,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan untuk usiaa berapa,kelas awan untuk usiaa berapa,kelas awan untuk usiaa berapa,"['kelas', 'awan', 'untuk', 'usiaa', 'berapa']","['kelas', 'awan', 'usiaa']"
951,cara daftar kidsland ya,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland ya,cara daftar kidsland ya,cara daftar kidsland ya,"['cara', 'daftar', 'kidsland', 'ya']","['daftar', 'kidsland', 'ya']"
952,ank suka menggambar??,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,ank suka menggambar,ank suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
953,anak usia 5 tahun cocok aktivitas ap,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usia tahun cocok aktivitas ap,anak usia tahun cocok aktivitas ap,anak usia tahun cocok aktivitas ap,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'ap']","['anak', 'usia', 'cocok', 'aktivitas', 'ap']"
954,kelas bumi untuk usia berap,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi untuk usia berap,kelas bumi untuk usia berap,kelas bumi untuk usia berap,"['kelas', 'bumi', 'untuk', 'usia', 'berap']","['kelas', 'bumi', 'usia', 'berap']"
955,kelas awan untuk usiaa berapa ya,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan untuk usiaa berapa ya,kelas awan untuk usiaa berapa ya,kelas awan untuk usiaa berapa ya,"['kelas', 'awan', 'untuk', 'usiaa', 'berapa', 'ya']","['kelas', 'awan', 'usiaa', 'ya']"
956,anak suka menggambar...,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
957,ank suka menggambar dong,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,ank suka menggambar dong,ank suka menggambar dong,anak suka menggambar dong,"['anak', 'suka', 'menggambar', 'dong']","['anak', 'suka', 'menggambar']"
958,jadwal kegiatan kidsland kapan??,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,"['jadwal', 'kegiatan', 'kidsland', 'kapan']","['jadwal', 'kegiatan', 'kidsland']"
959,lokasi kegiatan dimana?,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
960,cara daftar kidsland,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
961,anak usiaa 5 tahun cocok aktivitas apa...,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usiaa tahun cocok aktivitas apa,anak usiaa tahun cocok aktivitas apa,anak usiaa tahun cocok aktivitas apa,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usiaa', 'cocok', 'aktivitas']"
962,jdwl kegiatan kidsland kapan...,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jdwl kegiatan kidsland kapan,jdwl kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,"['jadwal', 'kegiatan', 'kidsland', 'kapan']","['jadwal', 'kegiatan', 'kidsland']"
963,anak usia 5 tahun cocok aktivitas apa,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
964,cara daftar kidsland...,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
965,kls awan untuk usiaa brp?,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kls awan untuk usiaa brp,kls awan untuk usiaa brp,kelas awan untuk usiaa berapa,"['kelas', 'awan', 'untuk', 'usiaa', 'berapa']","['kelas', 'awan', 'usiaa']"
966,jdwl kegiatan kidsland kapn...,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jdwl kegiatan kidsland kapn,jdwl kegiatan kidsland kapn,jadwal kegiatan kidsland kapn,"['jadwal', 'kegiatan', 'kidsland', 'kapn']","['jadwal', 'kegiatan', 'kidsland', 'kapn']"
967,cara daftar kidsland ya,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland ya,cara daftar kidsland ya,cara daftar kidsland ya,"['cara', 'daftar', 'kidsland', 'ya']","['daftar', 'kidsland', 'ya']"
968,cara daftar kidsland??,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
969,anak suka menggambar...,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
970,kelas bumi utk usiaa berapa,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi utk usiaa berapa,kelas bumi utk usiaa berapa,kelas bumi untuk usiaa berapa,"['kelas', 'bumi', 'untuk', 'usiaa', 'berapa']","['kelas', 'bumi', 'usiaa']"
971,lokasi kegiatan dimana ya,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana ya,lokasi kegiatan dimana ya,lokasi kegiatan dimana ya,"['lokasi', 'kegiatan', 'dimana', 'ya']","['lokasi', 'kegiatan', 'dimana', 'ya']"
972,kelas awan untuk usia brp,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan untuk usia brp,kelas awan untuk usia brp,kelas awan untuk usia berapa,"['kelas', 'awan', 'untuk', 'usia', 'berapa']","['kelas', 'awan', 'usia']"
973,kelas bumi untuk usia berap dong,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi untuk usia berap dong,kelas bumi untuk usia berap dong,kelas bumi untuk usia berap dong,"['kelas', 'bumi', 'untuk', 'usia', 'berap', 'dong']","['kelas', 'bumi', 'usia', 'berap']"
974,anak suka menggambar,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
975,lokasi kegiatan dimana dong,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana dong,lokasi kegiatan dimana dong,lokasi kegiatan dimana dong,"['lokasi', 'kegiatan', 'dimana', 'dong']","['lokasi', 'kegiatan', 'dimana']"
